now,messages,Hex_Code,Aircraft_Type,Flight_Number,Registration,t,Barometric_Altitude,Geometric_Altitude,Ground_Speed,track,geom_rate,squawk,emergency,category,nav_qnh,nav_altitude_mcp,nav_heading,nav_modes,Latitude,Longitude,nic,rc,seen_pos,version,nic_baro,nac_p,nac_v,sil,sil_type,gva,sda,alert,spi,mlat,tisb,messages,seen,rssi,baro_rate,true_heading,dbFlags,nav_altitude_fms,calc_track,mag_heading,ias,tas,mach,wd,ws,oat,tat,track_rate,roll,gpsOkBefore,gpsOkLat,gpsOkLon,rr_lat,rr_lon,lastPosition.lat,lastPosition.lon,lastPosition.nic,lastPosition.rc,lastPosition.seen_pos
1704067199.122,148041829,ad68dc,adsb_icao,N963SA  ,N963SA,AS50,1925,2175.0,115.1,281.02,320.0,1200,none,A7,,,,,21.9478,-159.487726,8.0,186.0,0.25,2.0,1.0,9.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],['baro_rate'],4692440,0.2,-21.2,320.0,,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,a0b282,adsb_icao,N144KW  ,N144KW,R44,2400,2700.0,88.3,274.55,192.0,1200,none,A7,,,,,22.067762,-159.48054,8.0,186.0,0.25,2.0,0.0,9.0,2.0,3.0,perhour,1.0,2.0,0.0,0.0,[],['baro_rate'],374881,0.2,-4.4,192.0,,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,a02b41,adsb_icao,N11QJ   ,N11QJ,EC30,1900,2150.0,131.0,131.6,-1024.0,1200,none,A7,1020.8,12000.0,,,22.050073,-159.451955,8.0,186.0,0.25,2.0,1.0,9.0,2.0,3.0,perhour,1.0,2.0,0.0,0.0,[],['geom_rate'],5185074,0.0,-3.5,-960.0,,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,a02b3b,adsb_icao,N11QC   ,N11QC,EC30,1525,1825.0,109.1,107.6,-448.0,1200,none,A7,1019.2,12000.0,,,22.027588,-159.408076,8.0,186.0,0.006,2.0,1.0,9.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],['geom_rate'],7660479,0.0,-3.1,-320.0,,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,aa1d85,adsr_icao,N7508M  ,N7508M,GA8,1400,1925.0,104.0,180.55,-384.0,1200,none,A1,,,,,21.993931,-159.383036,8.0,186.0,0.906,,0.0,9.0,0.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],3493958,0.5,-6.1,-256.0,,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,a57682,tisb_icao,N451H   ,N451H,AS50,0,225.0,0.7000000000000001,0.0,0.0,1200,,A7,,,,,21.981216,-159.347201,0.0,0.0,1.119,2.0,0.0,0.0,0.0,0.0,perhour,2.0,2.0,0.0,0.0,[],"['callsign', 'altitude', 'alt_geom', 'gs', 'track', 'baro_rate', 'lat', 'lon', 'nic', 'rc', 'nac_p', 'nac_v', 'sil', 'sil_type']",7271552,0.5,-21.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,aae643,tisb_icao,N801H   ,N801H,AS50,100,275.0,0.7000000000000001,0.0,,,,A7,,,,,21.981354,-159.346952,0.0,0.0,19.683,,,0.0,0.0,0.0,perhour,,,0.0,0.0,[],"['callsign', 'altitude', 'alt_geom', 'gs', 'track', 'baro_rate', 'lat', 'lon', 'nic', 'rc', 'nac_p', 'nac_v', 'sil', 'sil_type']",6695110,18.6,-20.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,a581c8,adsb_icao,N454JH  ,N454JH,H500,300,475.0,81.2,218.0,-64.0,1200,none,A7,,,,,21.990738,-159.344205,8.0,186.0,10.509,2.0,0.0,8.0,2.0,3.0,perhour,1.0,2.0,0.0,0.0,[],['baro_rate'],4215689,0.5,-24.2,-192.0,,8.0,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,ab0065,adsb_icao,N808JH  ,N808JH,H500,ground,,0.0,,,,,A7,,,,,21.984597,-159.341532,8.0,186.0,7.882,2.0,,9.0,2.0,3.0,perhour,,2.0,,,[],[],3976802,4.2,-32.3,,,8.0,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,a849b1,adsb_icao,N633JH  ,N633JH,H500,ground,,0.0,,,1200,none,A7,,,,,21.984446,-159.341367,8.0,186.0,2.8689999999999998,2.0,,9.0,2.0,3.0,perhour,,2.0,,,[],[],4862549,0.7000000000000001,-31.3,,,8.0,,,,,,,,,,,,,,,,,,,,,,
